scientific_name,park_name,observations
Juncus orthophyllus,Great Smoky Mountains National Park,77
Juncus uncialis,Great Smoky Mountains National Park,97
Thaspium barbinode,Great Smoky Mountains National Park,95
Polystichum scopulinum,Great Smoky Mountains National Park,54
Allophyllum gilioides ssp. gilioides,Great Smoky Mountains National Park,54
Draba oligosperma,Great Smoky Mountains National Park,34
Polypodium hesperium,Great Smoky Mountains National Park,68
Rana draytonii,Great Smoky Mountains National Park,93
Anemone occidentalis,Great Smoky Mountains National Park,82
Anemone patens var. multifida,Great Smoky Mountains National Park,94
Diervilla sessilifolia,Great Smoky Mountains National Park,81
Astomum muehlenbergianum,Great Smoky Mountains National Park,115
Limnothlypis swainsonii,Great Smoky Mountains National Park,56
Packera aurea,Great Smoky Mountains National Park,71
Delphinium gracilentum,Great Smoky Mountains National Park,75
Artemisia vulgaris,Great Smoky Mountains National Park,86
Potamogeton strictifolius,Great Smoky Mountains National Park,58
Cirsium undulatum,Great Smoky Mountains National Park,84
Aythya affinis,Great Smoky Mountains National Park,115
Mimus polyglottos,Great Smoky Mountains National Park,116
Panicum gattingeri,Great Smoky Mountains National Park,94
Mimulus angustatus,Great Smoky Mountains National Park,52
Leersia virginica,Great Smoky Mountains National Park,61
Polygonum douglasii ssp. douglasii,Great Smoky Mountains National Park,58
Montia chamissoi,Great Smoky Mountains National Park,86
Hedysarum sulphurescens,Great Smoky Mountains National Park,102
Turdus migratorius,Great Smoky Mountains National Park,69
Astragalus crassicarpus var. paysonii,Great Smoky Mountains National Park,45
Cinna arundinacea,Great Smoky Mountains National Park,70
Danthonia unispicata,Great Smoky Mountains National Park,74
Microseris nutans,Great Smoky Mountains National Park,79
Descurainia sophia,Great Smoky Mountains National Park,61
Lotus crassifolius var. crassifolius,Great Smoky Mountains National Park,77
Linanthus filipes,Great Smoky Mountains National Park,74
Quercus chrysolepis,Great Smoky Mountains National Park,74
Antennaria neglecta,Great Smoky Mountains National Park,85
Ribes oxyacanthoides var. setosum,Great Smoky Mountains National Park,87
Drosera anglica,Great Smoky Mountains National Park,100
Lilium grayi,Great Smoky Mountains National Park,89
Paeonia brownii,Great Smoky Mountains National Park,62
Sayornis nigricans,Great Smoky Mountains National Park,35
Anaxyrus canorus,Great Smoky Mountains National Park,85
Eurhynchium hians,Great Smoky Mountains National Park,46
Juniperus occidentalis,Great Smoky Mountains National Park,71
Eupatorium rugosum,Great Smoky Mountains National Park,77
Pinus,Great Smoky Mountains National Park,85
Peromyscus truei,Great Smoky Mountains National Park,85
Erysimum asperum,Great Smoky Mountains National Park,90
Bryohaplocladium microphyllum,Great Smoky Mountains National Park,74
Juncus ensifolius,Great Smoky Mountains National Park,71
Luxilus chrysocephalus,Great Smoky Mountains National Park,55
Polytrichum piliferum,Great Smoky Mountains National Park,34
Carex haydeniana,Great Smoky Mountains National Park,119
Pluvialis squatarola,Great Smoky Mountains National Park,95
Silene oregana,Great Smoky Mountains National Park,69
Salix pseudomonticola,Great Smoky Mountains National Park,58
Mertensia virginica,Great Smoky Mountains National Park,69
Desmodium laevigatum,Great Smoky Mountains National Park,61
Pelecanus erythrorhynchos,Great Smoky Mountains National Park,93
Diodia teres,Great Smoky Mountains National Park,102
Moneses uniflora,Great Smoky Mountains National Park,105
Cardamine angustata,Great Smoky Mountains National Park,52
Setaria viridis,Great Smoky Mountains National Park,100
Collinsonia verticillata,Great Smoky Mountains National Park,50
Aster integrifolius,Great Smoky Mountains National Park,73
Lasiurus blossevillii,Great Smoky Mountains National Park,70
Eriophyllum lanatum,Great Smoky Mountains National Park,61
Camissonia subacaulis,Great Smoky Mountains National Park,113
Hypericum perforatum,Great Smoky Mountains National Park,81
Ulota crispa,Great Smoky Mountains National Park,108
Hieracium gronovii,Great Smoky Mountains National Park,102
Arabis glabra var. glabra,Great Smoky Mountains National Park,38
Ochotona princeps,Great Smoky Mountains National Park,82
Galium tinctorium,Great Smoky Mountains National Park,86
Bromus tectorum,Great Smoky Mountains National Park,43
Sparganium emersum,Great Smoky Mountains National Park,75
Thermopsis fraxinifolia,Great Smoky Mountains National Park,79
Rana catesbeiana,Great Smoky Mountains National Park,88
Viola lanceolata,Great Smoky Mountains National Park,79
Tamias umbrinus,Great Smoky Mountains National Park,87
Poa pratensis,Great Smoky Mountains National Park,85
Lamium purpureum,Great Smoky Mountains National Park,43
Arenaria congesta var. suffrutescens,Great Smoky Mountains National Park,76
Carex aquatilis var. aquatilis,Great Smoky Mountains National Park,91
Salix geyeriana,Great Smoky Mountains National Park,57
Saxifraga nidifica,Great Smoky Mountains National Park,53
Lilium michauxii,Great Smoky Mountains National Park,73
Clematis viorna,Great Smoky Mountains National Park,91
Acanthus flammea,Great Smoky Mountains National Park,68
Paronychia fastigiata,Great Smoky Mountains National Park,97
Empidonax alnorum,Great Smoky Mountains National Park,62
Rhus typhina,Great Smoky Mountains National Park,86
Callospermophilus lateralis,Great Smoky Mountains National Park,84
Salix humilis var. tristis,Great Smoky Mountains National Park,80
Logfia arvensis,Great Smoky Mountains National Park,74
Blarina brevicauda,Great Smoky Mountains National Park,86
Cirriphyllum piliferum,Great Smoky Mountains National Park,85
Agrostis mertensii,Great Smoky Mountains National Park,54
Thermopsis villosa,Great Smoky Mountains National Park,57
Pseudacris triseriata,Great Smoky Mountains National Park,77
Polygonum erectum,Great Smoky Mountains National Park,79
Agrostis capillaris,Great Smoky Mountains National Park,84
Berberis thunbergii,Great Smoky Mountains National Park,52
Sus scrofa,Great Smoky Mountains National Park,99
Sabatia angularis,Great Smoky Mountains National Park,73
Mephitis mephitis,Great Smoky Mountains National Park,63
Notropis rubricroceus,Great Smoky Mountains National Park,131
Polystichum lonchitis,Great Smoky Mountains National Park,82
Alyssum alyssoides,Great Smoky Mountains National Park,60
Oncophorus raui,Great Smoky Mountains National Park,76
Carex leavenworthii,Great Smoky Mountains National Park,48
Solidago hispida,Great Smoky Mountains National Park,59
Polytrichum pallidisetum,Great Smoky Mountains National Park,87
Hutchinsia procumbens,Great Smoky Mountains National Park,66
Rosa multiflora,Great Smoky Mountains National Park,105
Cistothorus platensis,Great Smoky Mountains National Park,65
Carex aquatilis,Great Smoky Mountains National Park,86
Juncus triformis,Great Smoky Mountains National Park,66
Clethrionomys gapperi,Great Smoky Mountains National Park,93
Tiarella cordifolia var. cordifolia,Great Smoky Mountains National Park,63
Polygonum minimum,Great Smoky Mountains National Park,74
Crepis elegans,Great Smoky Mountains National Park,72
Salix drummondiana,Great Smoky Mountains National Park,62
Anemone tetonensis,Great Smoky Mountains National Park,70
Clematis ochroleuca,Great Smoky Mountains National Park,92
Lepomis auritus,Great Smoky Mountains National Park,77
Triticum aestivum,Great Smoky Mountains National Park,94
Sitta carolinensis,Great Smoky Mountains National Park,66
Oxytropis deflexa var. foliolosa,Great Smoky Mountains National Park,83
Parnassia asarifolia,Great Smoky Mountains National Park,45
Taraxacum laevigatum,Great Smoky Mountains National Park,114
Lindernia dubia var. anagallidea,Great Smoky Mountains National Park,113
Gastrophryne carolinensis,Great Smoky Mountains National Park,196
Symphyotrichum dumosum var. dumosum,Great Smoky Mountains National Park,95
Gentianella quinquefolia ssp. quinquefolia,Great Smoky Mountains National Park,93
Aegolius,Great Smoky Mountains National Park,42
Verbena simplex,Great Smoky Mountains National Park,71
Monarda fistulosa,Great Smoky Mountains National Park,69
Chrysothamnus viscidiflorus var. viscidiflorus,Great Smoky Mountains National Park,95
Pinus jeffreyi,Great Smoky Mountains National Park,76
Lupinus breweri var. bryoides,Great Smoky Mountains National Park,76
Danthonia compressa,Great Smoky Mountains National Park,63
Artemisia abrotanum,Great Smoky Mountains National Park,66
Sanicula marilandica,Great Smoky Mountains National Park,117
Carex disperma,Great Smoky Mountains National Park,75
Zonotrichia leucophrys,Great Smoky Mountains National Park,95
Clarkia gracilis ssp. albicaulis,Great Smoky Mountains National Park,95
Celastrus orbiculatus,Great Smoky Mountains National Park,47
Lynx canadensis,Great Smoky Mountains National Park,59
Ribes inerme var. inerme,Great Smoky Mountains National Park,80
Erechtites hieracifolia,Great Smoky Mountains National Park,115
Polemonium californicum,Great Smoky Mountains National Park,77
Juncus tenuis,Great Smoky Mountains National Park,86
Silene ovata,Great Smoky Mountains National Park,42
Aphanes microcarpa,Great Smoky Mountains National Park,49
Myriophyllum verticillatum,Great Smoky Mountains National Park,80
Digitalis purpurea,Great Smoky Mountains National Park,67
Gratiola neglecta,Great Smoky Mountains National Park,67
Fimbristylis autumnalis,Great Smoky Mountains National Park,91
Pekania pennanti,Great Smoky Mountains National Park,43
Ruellia humilis,Great Smoky Mountains National Park,43
Sialia currucoides,Great Smoky Mountains National Park,71
Saxifraga oppositifolia,Great Smoky Mountains National Park,65
Erigeron eatonii var. sonnei,Great Smoky Mountains National Park,75
Dryopteris intermedia,Great Smoky Mountains National Park,87
Helianthus tuberosus,Great Smoky Mountains National Park,76
Eremophila alpestris,Great Smoky Mountains National Park,97
Deschampsia cespitosa ssp. cespitosa,Great Smoky Mountains National Park,104
Ulmus americana,Great Smoky Mountains National Park,54
Cordylanthus rigidus ssp. brevibracteatus,Great Smoky Mountains National Park,68
Philomachus pugnax,Great Smoky Mountains National Park,86
Cryptotis parva,Great Smoky Mountains National Park,68
Populus nigra,Great Smoky Mountains National Park,52
Elymus trachycaulus ssp. trachycaulus,Great Smoky Mountains National Park,57
Brickellia eupatorioides var. eupatorioides,Great Smoky Mountains National Park,88
Sisyrinchium atlanticum,Great Smoky Mountains National Park,88
Doellingeria umbellata var. umbellata,Great Smoky Mountains National Park,72
Agalinis setacea,Great Smoky Mountains National Park,82
Veronica scutellata,Great Smoky Mountains National Park,86
Aegilops cylindrica,Great Smoky Mountains National Park,66
Minuartia nuttallii,Great Smoky Mountains National Park,93
Melospiza georgiana,Great Smoky Mountains National Park,40
Consolida ajacis,Great Smoky Mountains National Park,66
Cucurbita pepo,Great Smoky Mountains National Park,54
Tragopogon dubius,Great Smoky Mountains National Park,77
Nucifraga columbiana,Great Smoky Mountains National Park,89
Calandrinia ciliata,Great Smoky Mountains National Park,106
Carex amphibola var. rigida,Great Smoky Mountains National Park,66
Osmorhiza claytonii,Great Smoky Mountains National Park,79
Cordylanthus tenuis ssp. tenuis,Great Smoky Mountains National Park,78
Adlumia fungosa,Great Smoky Mountains National Park,53
Rana catesbeiana,Great Smoky Mountains National Park,81
Dicranella rufescens,Great Smoky Mountains National Park,78
Oncorhynchus mykiss aguabonita,Great Smoky Mountains National Park,67
Arabis inyoensis,Great Smoky Mountains National Park,45
Desmognathus quadramaculatus,Great Smoky Mountains National Park,87
Podiceps nigricollis,Great Smoky Mountains National Park,92
Coscinodon cribrosus,Great Smoky Mountains National Park,63
Symphyotrichum spathulatum,Great Smoky Mountains National Park,72
Cynoglossum occidentale,Great Smoky Mountains National Park,75
Cynanchum laeve,Great Smoky Mountains National Park,36
Pterospora andromedea,Great Smoky Mountains National Park,45
Comandra umbellata ssp. californica,Great Smoky Mountains National Park,75
Terrapene carolina carolina,Great Smoky Mountains National Park,49
Carassius auratus,Great Smoky Mountains National Park,44
Oenothera linifolia,Great Smoky Mountains National Park,66
Calochortus albus,Great Smoky Mountains National Park,59
Phacelia dubia var. dubia,Great Smoky Mountains National Park,95
Houstonia longifolia,Great Smoky Mountains National Park,67
Lithophragma affine,Great Smoky Mountains National Park,69
Catostomus catostomus,Great Smoky Mountains National Park,62
Paspalum boscianum,Great Smoky Mountains National Park,66
Ditrichum pallidum,Great Smoky Mountains National Park,69
Neckera pennata,Great Smoky Mountains National Park,69
Dodecatheon conjugens,Great Smoky Mountains National Park,75
Larus argentatus,Great Smoky Mountains National Park,61
Chorispora tenella,Great Smoky Mountains National Park,86
Helianthus angustifolius,Great Smoky Mountains National Park,93
Vermivora celata,Great Smoky Mountains National Park,76
Bubo virginianus,Great Smoky Mountains National Park,79
Peromyscus leucopus,Great Smoky Mountains National Park,67
Broussonetia papyrifera,Great Smoky Mountains National Park,67
Scleria pauciflora,Great Smoky Mountains National Park,81
Chenopodium atrovirens,Great Smoky Mountains National Park,59
Carex stipata var. stipata,Great Smoky Mountains National Park,60
Geum aleppicum var. strictum,Great Smoky Mountains National Park,80
Cirsium scariosum,Great Smoky Mountains National Park,96
Echinochloa crus-galli,Great Smoky Mountains National Park,62
Hulsea brevifolia,Great Smoky Mountains National Park,70
Branta canadensis,Great Smoky Mountains National Park,110
Eupatorium coelestinum,Great Smoky Mountains National Park,81
Polymnia laevigata,Great Smoky Mountains National Park,56
Paronychia sessiliflora,Great Smoky Mountains National Park,65
Arabidopsis thaliana,Great Smoky Mountains National Park,103
Magnolia acuminata,Great Smoky Mountains National Park,76
Eupatorium altissimum,Great Smoky Mountains National Park,27
Lonicera maackii,Great Smoky Mountains National Park,79
Wisteria floribunda,Great Smoky Mountains National Park,50
Lathyrus lanszwertii var. lanszwertii,Great Smoky Mountains National Park,91
Phlox latifolia,Great Smoky Mountains National Park,65
Pseudotriton ruber ruber,Great Smoky Mountains National Park,60
Phyllodoce empetriformis,Great Smoky Mountains National Park,106
Physaria didymocarpa var. didymocarpa,Great Smoky Mountains National Park,94
Hexastylis arifolia,Great Smoky Mountains National Park,105
Hypochaeris radicata,Great Smoky Mountains National Park,73
Lycopodium hickeyi,Great Smoky Mountains National Park,97
Carduelis flammea,Great Smoky Mountains National Park,77
Suaeda calceoliformis,Great Smoky Mountains National Park,64
Paspalum pubiflorum var. glabrum,Great Smoky Mountains National Park,69
Trifolium dubium,Great Smoky Mountains National Park,88
Mimulus moschatus,Great Smoky Mountains National Park,73
Callitriche heterophylla,Great Smoky Mountains National Park,77
Eucephalus elegans,Great Smoky Mountains National Park,68
Achnatherum thurberianum,Great Smoky Mountains National Park,73
Actitis macularia,Great Smoky Mountains National Park,66
Setophaga coronata auduboni,Great Smoky Mountains National Park,103
Juniperus communis,Great Smoky Mountains National Park,83
Mustela frenata,Great Smoky Mountains National Park,77
Zigadenus paniculatus,Great Smoky Mountains National Park,92
Hygrohypnum molle,Great Smoky Mountains National Park,69
Castilleja exserta ssp. exserta,Great Smoky Mountains National Park,75
Carex fissuricola,Great Smoky Mountains National Park,69
Streptanthus tortuosus var. tortuosus,Great Smoky Mountains National Park,85
Sanicula graveolens,Great Smoky Mountains National Park,59
Myotis lucifugus,Great Smoky Mountains National Park,57
Ictalurus furcatus,Great Smoky Mountains National Park,72
Phacelia cicutaria var. cicutaria,Great Smoky Mountains National Park,90
Vaccinium myrtillus var. oreophilum,Great Smoky Mountains National Park,95
Cleome hassleriana,Great Smoky Mountains National Park,71
Chaerophyllum procumbens,Great Smoky Mountains National Park,55
Stellaria obtusa,Great Smoky Mountains National Park,49
Sedum telephium,Great Smoky Mountains National Park,62
Vermivora pinus X chrysoptera,Great Smoky Mountains National Park,98
Homalia trichomanoides,Great Smoky Mountains National Park,121
Sylvilagus nuttallii,Great Smoky Mountains National Park,99
Platanthera dilatata var. dilatata,Great Smoky Mountains National Park,76
Geum triflorum,Great Smoky Mountains National Park,84
Eschscholzia hypecoides,Great Smoky Mountains National Park,48
Thlaspi perfoliatum,Great Smoky Mountains National Park,75
Buteo lineatus,Great Smoky Mountains National Park,31
Grindelia squarrosa,Great Smoky Mountains National Park,62
Ludwigia uruguayensis,Great Smoky Mountains National Park,51
Vitis rotundifolia,Great Smoky Mountains National Park,74
Diphylleia cymosa,Great Smoky Mountains National Park,50
Rhododendron arborescens,Great Smoky Mountains National Park,53
Mimulus floribundus,Great Smoky Mountains National Park,102
Symphyotrichum lateriflorum var. lateriflorum,Great Smoky Mountains National Park,26
Corynorhinus rafinesquii,Great Smoky Mountains National Park,80
Carex styloflexa,Great Smoky Mountains National Park,87
Ampelopsis cordata,Great Smoky Mountains National Park,67
Digitalis purpurea,Great Smoky Mountains National Park,47
Vaccaria hispanica,Great Smoky Mountains National Park,69
Carex oligocarpa,Great Smoky Mountains National Park,72
Amaranthus spinosus,Great Smoky Mountains National Park,90
Solidago flexicaulis,Great Smoky Mountains National Park,46
Diodia virginiana,Great Smoky Mountains National Park,83
Mimulus montioides,Great Smoky Mountains National Park,92
Cryptotaenia canadensis,Great Smoky Mountains National Park,52
Artemisiospiza nevadensis,Great Smoky Mountains National Park,102
Alces alces shirasi,Great Smoky Mountains National Park,83
Fritillaria micrantha,Great Smoky Mountains National Park,88
Limnanthes alba ssp. alba,Great Smoky Mountains National Park,94
Aristida dichotoma var. dichotoma,Great Smoky Mountains National Park,83
Potamogeton foliosus var. foliosus,Great Smoky Mountains National Park,68
Veronica serpyllifolia,Great Smoky Mountains National Park,80
Sorghum halepense,Great Smoky Mountains National Park,88
Potentilla ovina var. ovina,Great Smoky Mountains National Park,56
Mentha suaveolens,Great Smoky Mountains National Park,57
Oreoscoptes montanus,Great Smoky Mountains National Park,38
Juncus filiformis,Great Smoky Mountains National Park,90
Liatris squarrulosa,Great Smoky Mountains National Park,69
Aster ascendens,Great Smoky Mountains National Park,114
Monotropsis odorata,Great Smoky Mountains National Park,55
Kalmia polifolia,Great Smoky Mountains National Park,45
Impatiens pallida,Great Smoky Mountains National Park,86
Carex laxiflora,Great Smoky Mountains National Park,86
Hybopsis amblops,Great Smoky Mountains National Park,69
Calidris melanotos,Great Smoky Mountains National Park,71
Tortula amphidiacea,Great Smoky Mountains National Park,84
Stercorarius parasiticus,Great Smoky Mountains National Park,76
Lolium perenne,Great Smoky Mountains National Park,99
Plagiobothrys scouleri var. hispidulus,Great Smoky Mountains National Park,80
Heterophyllium affine,Great Smoky Mountains National Park,84
Necturus maculosus maculosus,Great Smoky Mountains National Park,93
Dianthus armeria,Great Smoky Mountains National Park,70
Hypnum fertile,Great Smoky Mountains National Park,89
Claytonia rubra ssp. rubra,Great Smoky Mountains National Park,41
Herniaria hirsuta ssp. hirsuta,Great Smoky Mountains National Park,92
Clarkia unguiculata,Great Smoky Mountains National Park,75
Stuckenia filiformis ssp. occidentalis,Great Smoky Mountains National Park,73
Polygala senega var. latifolia,Great Smoky Mountains National Park,66
Buteo jamaicensis,Great Smoky Mountains National Park,106
Mnium marginatum,Great Smoky Mountains National Park,100
Phleum pratense,Great Smoky Mountains National Park,106
Apera interrupta,Great Smoky Mountains National Park,50
Ipomopsis aggregata var. aggregata,Great Smoky Mountains National Park,91
Lathyrus latifolius,Great Smoky Mountains National Park,38
Raphanus sativus,Great Smoky Mountains National Park,83
Carex davyi,Great Smoky Mountains National Park,67
Arabis laevigata var. burkii,Great Smoky Mountains National Park,87
Mimulus mephiticus,Great Smoky Mountains National Park,109
Carex lemmonii,Great Smoky Mountains National Park,83
Crepis occidentalis,Great Smoky Mountains National Park,106
Veronica arvensis,Great Smoky Mountains National Park,55
Vaccinium myrtilloides,Great Smoky Mountains National Park,79
Salix prolixa,Great Smoky Mountains National Park,70
Lepidium virginicum,Great Smoky Mountains National Park,91
Sida hermaphrodita,Great Smoky Mountains National Park,65
Digitaria sanguinalis,Great Smoky Mountains National Park,91
Trifolium campestre,Great Smoky Mountains National Park,67
Balsamorhiza sagittata,Great Smoky Mountains National Park,96
Lemna trisulca,Great Smoky Mountains National Park,55
Campanula aparinoides,Great Smoky Mountains National Park,75
Chamaebatiaria millefolium,Great Smoky Mountains National Park,48
Acrobolbus ciliatus,Great Smoky Mountains National Park,77
Trillium undulatum,Great Smoky Mountains National Park,89
Solidago bicolor,Great Smoky Mountains National Park,77
Anthoxanthum odoratum,Great Smoky Mountains National Park,60
Arabis lyrata,Great Smoky Mountains National Park,81
Triodanis perfoliata var. perfoliata,Great Smoky Mountains National Park,83
Troglodytes aedon,Great Smoky Mountains National Park,71
Lactuca biennis,Great Smoky Mountains National Park,64
Symphyotrichum divaricatum,Great Smoky Mountains National Park,52
Pinus sabiniana,Great Smoky Mountains National Park,72
Epilobium foliosum,Great Smoky Mountains National Park,63
Setaria viridis,Great Smoky Mountains National Park,103
Geothlypis tolmiei,Great Smoky Mountains National Park,80
Agrostis thurberiana,Great Smoky Mountains National Park,39
Hackelia virginiana,Great Smoky Mountains National Park,72
Botrychium simplex,Great Smoky Mountains National Park,85
Asclepias incarnata ssp. incarnata,Great Smoky Mountains National Park,81
Cornus alternifolia,Great Smoky Mountains National Park,61
Ambystoma talpoideum,Great Smoky Mountains National Park,230
Antennaria luzuloides,Great Smoky Mountains National Park,51
Thaspium trifoliatum,Great Smoky Mountains National Park,26
Triteleia laxa,Great Smoky Mountains National Park,44
Podiceps nigricollis,Great Smoky Mountains National Park,51
Nuphar polysepala,Great Smoky Mountains National Park,58
Scutellaria incana var. incana,Great Smoky Mountains National Park,64
Bryhnia novae-angliae,Great Smoky Mountains National Park,76
Ranunculus hispidus,Great Smoky Mountains National Park,113
Iris missouriensis,Great Smoky Mountains National Park,85
Bidens vulgata,Great Smoky Mountains National Park,50
Cystopteris bulbifera,Great Smoky Mountains National Park,60
Conringia orientalis,Great Smoky Mountains National Park,63
Allium vineale,Great Smoky Mountains National Park,66
Chrysanthemum leucanthemum,Great Smoky Mountains National Park,46
Solidago flaccidifolia,Great Smoky Mountains National Park,74
Vermivora pinus,Great Smoky Mountains National Park,80
Icteria virens,Great Smoky Mountains National Park,69
Solidago glomerata,Great Smoky Mountains National Park,66
Vulpes fulva,Great Smoky Mountains National Park,66
Chondestes grammacus,Great Smoky Mountains National Park,61
Carex congdonii,Great Smoky Mountains National Park,82
Triteleia hyacinthina,Great Smoky Mountains National Park,20
Nemacladus interior,Great Smoky Mountains National Park,78
Adiantum aleuticum,Great Smoky Mountains National Park,112
Pterigynandrum filiforme,Great Smoky Mountains National Park,97
Oxalis violacea,Great Smoky Mountains National Park,99
Pandion haliaetus,Great Smoky Mountains National Park,58
Aster foliaceus var. parryi,Great Smoky Mountains National Park,106
Corydalis micrantha ssp. australis,Great Smoky Mountains National Park,45
Cryptantha echinella,Great Smoky Mountains National Park,82
Rhododendron carolinianum,Great Smoky Mountains National Park,41
Galium mollugo,Great Smoky Mountains National Park,98
Agrimonia rostellata,Great Smoky Mountains National Park,116
Peromyscus maniculatus,Great Smoky Mountains National Park,71
Tamias striatus,Great Smoky Mountains National Park,53
Galium pilosum var. pilosum,Great Smoky Mountains National Park,61
Rhododendron vaseyi,Great Smoky Mountains National Park,102
Erysimum cheiranthoides,Great Smoky Mountains National Park,72
Carex gracillima,Great Smoky Mountains National Park,87
Krigia caespitosa,Great Smoky Mountains National Park,56
Monroa squarrosa,Great Smoky Mountains National Park,23
Pica nuttalli,Great Smoky Mountains National Park,83
Lepidium sativum,Great Smoky Mountains National Park,76
Mergus merganser,Great Smoky Mountains National Park,94
Trifolium microcephalum,Great Smoky Mountains National Park,94
Chasmanthium laxum var. sessiliflorum,Great Smoky Mountains National Park,106
Spermophilus lateralis,Great Smoky Mountains National Park,74
Lewisia pygmaea,Great Smoky Mountains National Park,100
Erigeron pygmaeus,Great Smoky Mountains National Park,76
Procyon lotor,Great Smoky Mountains National Park,100
Catharus guttatus,Great Smoky Mountains National Park,62
Corallorrhiza trifida,Great Smoky Mountains National Park,95
Eragrostis cilianensis,Great Smoky Mountains National Park,111
Dodecatheon pulchellum var. pulchellum,Great Smoky Mountains National Park,45
Cyperus lupulinus ssp. lupulinus,Great Smoky Mountains National Park,88
Allium bisceptrum var. bisceptrum,Great Smoky Mountains National Park,68
Conyza canadensis,Great Smoky Mountains National Park,83
Prunus hortulana,Great Smoky Mountains National Park,61
Sphyrapicus thyroideus,Great Smoky Mountains National Park,51
Danthonia californica var. californica,Great Smoky Mountains National Park,118
Oxalis dillenii,Great Smoky Mountains National Park,92
Hexastylis shuttleworthii,Great Smoky Mountains National Park,41
Tringa incana,Great Smoky Mountains National Park,89
Noturus flavus,Great Smoky Mountains National Park,62
Acer macrophyllum,Great Smoky Mountains National Park,33
Streptopus amplexifolius var. amplexifolius,Great Smoky Mountains National Park,43
Puma concolor,Great Smoky Mountains National Park,79
Reithrodontomys megalotis,Great Smoky Mountains National Park,79
Antrozous pallidus,Great Smoky Mountains National Park,61
Dendroica petechia,Great Smoky Mountains National Park,93
Packera obovata,Great Smoky Mountains National Park,64
Aconitum columbianum ssp. columbianum,Great Smoky Mountains National Park,91
Setophaga castanea,Great Smoky Mountains National Park,76
Epipactis helleborine,Great Smoky Mountains National Park,35
Psaltriparus minimus,Great Smoky Mountains National Park,97
Calypso bulbosa,Great Smoky Mountains National Park,82
Dichelostemma volubile,Great Smoky Mountains National Park,67
Geum radiatum,Great Smoky Mountains National Park,27
Cardaria chalapensis,Great Smoky Mountains National Park,47
Barbarea vulgaris,Great Smoky Mountains National Park,84
Symphyotrichum novae-angliae,Great Smoky Mountains National Park,98
Atrichum altecristatum,Great Smoky Mountains National Park,88
Penstemon azureus var. angustissimus,Great Smoky Mountains National Park,76
Phyllodoce breweri,Great Smoky Mountains National Park,54
Spinus lawrencei,Great Smoky Mountains National Park,105
Dicentra pauciflora,Great Smoky Mountains National Park,45
Ranunculus muricatus,Great Smoky Mountains National Park,34
Arabis davidsonii,Great Smoky Mountains National Park,96
