category,scientific_name,common_names,conservation_status,lifespan_years,mass_kg
Mammal,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel",In Recovery,20.6,9.604
Mammal,Sciurus niger,"Eastern Fox Squirrel, Fox Squirrel",Endangered,8.9,7.47
Mammal,Tamias striatus,Eastern Chipmunk,,21.4,0.931
Mammal,Tamiasciurus hudsonicus,Red Squirrel,Species of Concern,88.2,12.711
Mammal,Blarina brevicauda,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",Species of Concern,5.6,19.0
Mammal,Cryptotis parva,Least Shrew,,6.8,25.32
Mammal,Sorex cinereus,"Common Shrew, Masked Shrew",,46.7,0.737
Mammal,Sorex dispar,"Long-Tailed Or Rock Shrew, Long-Tailed Shrew",Threatened,39.1,11.113
Mammal,Sorex fumeus,Smoky Shrew,,34.5,290.89
Mammal,Sorex hoyi,Pygmy Shrew,Threatened,13.2,0.854
Mammal,Sorex longirostris,Southeastern Shrew,Threatened,7.4,0.745
Mammal,Sorex palustris,Water Shrew,,15.3,9.493
Mammal,Condylura cristata,Star-Nosed Mole,Species of Concern,21.1,27.655
Mammal,Parascalops breweri,Hairy-Tailed Mole,Endangered,16.6,109.703
Mammal,Scalopus aquaticus,Eastern Mole,,13.0,1780.006
Bird,Vermivora pinus X chrysoptera,Brewster's Warbler,,17.7,0.117
Bird,Accipiter cooperii,Cooper's Hawk,Species of Concern,6.4,0.512
Bird,Accipiter gentilis,Northern Goshawk,Endangered,10.7,0.661
Bird,Accipiter striatus,Sharp-Shinned Hawk,Species of Concern,16.2,0.278
Bird,Aquila chrysaetos,Golden Eagle,Species of Concern,7.3,0.057
Bird,Buteo jamaicensis,Red-Tailed Hawk,Species of Concern,9.3,0.773
Bird,Buteo lineatus,Red-Shouldered Hawk,Species of Concern,13.9,0.077
Bird,Buteo platypterus,Broad-Winged Hawk,Species of Concern,13.5,0.46
Bird,Circus cyaneus,Northern Harrier,Species of Concern,7.2,0.357
Bird,Elanoides forficatus,"American Swallow-Tailed Kite, Swallow-Tailed Kite",Species of Concern,12.6,0.086
Bird,Haliaeetus leucocephalus,Bald Eagle,In Recovery,15.1,0.558
Bird,Ictinia mississippiensis,Mississippi Kite,,23.3,0.96
Bird,Cathartes aura,Turkey Vulture,Species of Concern,5.3,0.107
Bird,Coragyps atratus,Black Vulture,Endangered,16.6,0.53
Bird,Pandion haliaetus,Osprey,Species of Concern,16.6,20.864
Bird,Aix sponsa,Wood Duck,,17.2,1.05
Bird,Anas acuta,Northern Pintail,In Recovery,21.6,0.617
Bird,Anas americana,American Wigeon,,10.1,0.694
Bird,Anas clypeata,Northern Shoveler,Species of Concern,7.7,0.232
Bird,Anas crecca,Green-Winged Teal,Species of Concern,9.1,0.33
Bird,Anas discors,Blue-Winged Teal,Endangered,48.9,0.039
Bird,Anas platyrhynchos,Mallard,,18.4,0.051
Bird,Anas rubripes,American Black Duck,Species of Concern,9.2,0.998
Bird,Aythya affinis,Lesser Scaup,Species of Concern,12.7,0.092
Bird,Aythya americana,Redhead,,7.9,0.636
Bird,Aythya collaris,Ring-Necked Duck,Species of Concern,7.9,0.382
Bird,Branta bernicla,Brant,In Recovery,12.5,0.147
Bird,Branta canadensis,Canada Goose,Endangered,44.1,0.605
Bird,Bucephala albeola,Bufflehead,,3.6,0.37
Bird,Bucephala clangula,Common Goldeneye,Threatened,8.2,0.769
Bird,Chen caerulescens,Snow Goose,Endangered,7.6,0.265
Bird,Histrionicus histrionicus,Harlequin Duck,,16.5,0.781
Bird,Lophodytes cucullatus,Hooded Merganser,,5.9,0.208
Bird,Melanitta deglandi,White-Winged Scoter,Threatened,9.2,0.147
Bird,Melanitta fusca,White-Winged Scoter,Species of Concern,35.1,0.47
Bird,Melanitta nigra,Black Scoter,Endangered,5.7,0.827
Bird,Mergus merganser,Common Merganser,,43.5,0.938
Bird,Mergus serrator,Red-Breasted Merganser,Endangered,4.9,0.177
Bird,Oxyura jamaicensis,Ruddy Duck,Endangered,26.1,0.138
Bird,Chaetura pelagica,Chimney Swift,Endangered,15.9,0.706
Bird,Archilochus colubris,Ruby-Throated Hummingbird,In Recovery,7.0,0.282
Bird,Caprimulgus carolinensis,Chuck-Will's-Widow,Species of Concern,1.7,0.098
Bird,Caprimulgus vociferus,Whip-Poor-Will,In Recovery,10.5,0.076
Bird,Chordeiles minor,Common Nighthawk,,32.4,0.062
Bird,Charadrius semipalmatus,Semipalmated Plover,Endangered,9.4,0.348
Bird,Charadrius vociferus,Killdeer,,28.9,0.062
Bird,Pluvialis dominica,"American Golden-Plover, Lesser Golden-Plover",,24.5,0.305
Bird,Chlidonias niger,Black Tern,Species of Concern,6.8,0.501
Bird,Larus argentatis,Herring Gull,,13.7,0.156
Bird,Larus atricilla,Laughing Gull,Species of Concern,12.7,0.197
Bird,Larus delawarensis,Ring-Billed Gull,Species of Concern,13.0,0.624
Bird,Larus philadelphia,Bonaparte's Gull,,31.6,0.077
Bird,Sterna fuscata,Sooty Tern,,43.8,0.035
Bird,Actitis macularia,Spotted Sandpiper,,11.1,0.575
Bird,Calidris minutilla,Least Sandpiper,Species of Concern,14.4,0.152
Bird,Calidris pusilla,Semipalmated Sandpiper,,10.8,0.175
Bird,Catoptrophorus semipalmatus,Willet,,8.6,0.767
Bird,Gallinago gallinago,Common Snipe,,15.1,0.141
Bird,Limnodromus griseus,Short-Billed Dowitcher,,20.9,0.422
Bird,Phalaropus fulicarius,Red Phalarope,,19.8,0.602
Bird,Phalaropus lobatus,Red-Necked Phalarope,Species of Concern,7.4,0.163
Bird,Philomachus pugnax,Ruff,,19.1,0.589
Bird,Scolopax minor,American Woodcock,,12.0,0.343
Bird,Tringa flavipes,Lesser Yellowlegs,Species of Concern,26.2,0.157
Bird,Tringa melanoleuca,Greater Yellowlegs,,16.9,0.241
Bird,Tringa solitaria,Solitary Sandpiper,Species of Concern,10.7,1.009
Bird,Columba livia,Rock Dove,,20.0,0.737
Bird,Ectopistes migratorius,Passenger Pigeon,,26.7,0.308
Bird,Zenaida macroura,Mourning Dove,,18.3,0.214
Bird,Ceryle alcyon,Belted Kingfisher,Threatened,14.8,0.261
Bird,Ceryle torquata,Ringed Kingfisher,Species of Concern,12.9,0.58
Bird,Coccyzus americanus,Yellow-Billed Cuckoo,,7.5,3.009
Bird,Coccyzus erythropthalmus,Black-Billed Cuckoo,Species of Concern,6.7,0.079
Bird,Falco columbarius,Merlin,Species of Concern,24.4,0.72
Bird,Falco peregrinus,Peregrine Falcon,Species of Concern,17.7,0.601
Bird,Falco sparverius,American Kestrel,,12.1,0.112
Bird,Colinus virginianus,Northern Bobwhite,,12.7,0.143
Bird,Alectoris chukar,Chukar,,21.9,0.256
Bird,Bonasa umbellus,Ruffed Grouse,,7.4,0.212
Bird,Meleagris gallopavo,Wild Turkey,Species of Concern,15.6,0.162
Bird,Pavo cristatus,Peacock,Species of Concern,7.4,0.394
Bird,Phasianus colchicus,"Common Pheasant, Ring-Necked Pheasant",,14.1,0.172
Bird,Gavia immer,Common Loon,Species of Concern,9.2,0.389
Bird,Grus americana,Whooping Crane,Endangered,5.1,0.064
Bird,Grus canadensis,Sandhill Crane,Threatened,7.9,0.238
Bird,Fulica americana,American Coot,,14.7,1.526
Bird,Gallinula chloropus,Common Moorhen,,20.4,0.253
Bird,Porzana carolina,Sora,,12.0,0.1
Bird,Rallus elegans,King Rail,Species of Concern,12.0,0.219
Bird,Rallus limicola,Virginia Rail,,14.8,0.121
Bird,Eremophila alpestris,Horned Lark,Species of Concern,16.6,1.626
Bird,Bombycilla cedrorum,Cedar Waxwing,,11.4,0.469
Bird,Calcarius ornatus,Chestnut-Collared Longspur,Species of Concern,18.4,0.194
Bird,Plectrophenax nivalis,Snow Bunting,,13.9,0.305
Bird,Cardinalis cardinalis,Northern Cardinal,In Recovery,12.9,0.129
Bird,Guiraca caerulea,Blue Grosbeak,Species of Concern,12.4,0.521
Bird,Passerina cyanea,Indigo Bunting,,29.1,0.865
Bird,Pheucticus ludovicianus,Rose-Breasted Grosbeak,,44.3,0.129
Bird,Piranga olivacea,Scarlet Tanager,Species of Concern,20.6,0.368
Bird,Piranga rubra,Summer Tanager,Species of Concern,45.3,0.124
Bird,Spiza americana,Dickcissel,,7.4,0.156
Bird,Certhia americana,Brown Creeper,Species of Concern,3.4,0.169
Bird,Certhia familiaris,Eurasian Treecreeper,In Recovery,7.7,0.355
Bird,Corvus brachyrhynchos,American Crow,,15.0,2.372
Bird,Corvus corax,Common Raven,,21.5,0.16
Bird,Cyanocitta cristata,Blue Jay,Species of Concern,7.1,0.517
Bird,Aimophila aestivalis,Bachman's Sparrow,Species of Concern,5.5,2.258
Bird,Ammodramus henslowii,Henslow's Sparrow,,24.7,0.18
Bird,Ammodramus leconteii,Le Conte's Sparrow,Species of Concern,4.4,1.335
Bird,Ammodramus savannarum,Grasshopper Sparrow,Species of Concern,11.4,1.175
Bird,Chondestes grammacus,Lark Sparrow,,4.7,0.156
Bird,Junco hyemalis,Dark-Eyed Junco,,12.2,0.317
Bird,Melospiza georgiana,Swamp Sparrow,,9.3,0.598
Bird,Melospiza lincolnii,Lincoln's Sparrow,Species of Concern,6.4,0.258
Bird,Melospiza melodia,Song Sparrow,,13.1,0.53
Bird,Passerculus sandwichensis,Savannah Sparrow,Endangered,18.7,0.087
Bird,Passerella iliaca,Fox Sparrow,,4.9,1.228
Bird,Pipilo erythrophthalmus,"Eastern Towhee, Rufous-Sided Towhee",Endangered,14.9,0.132
Bird,Pooecetes gramineus,Vesper Sparrow,,30.9,0.342
Bird,Spizella arborea,American Tree Sparrow,,24.7,0.324
Bird,Spizella passerina,Chipping Sparrow,,41.9,2.077
Bird,Spizella pusilla,Field Sparrow,,10.5,0.877
Bird,Zonotrichia albicollis,White-Throated Sparrow,Species of Concern,17.9,1.357
Bird,Zonotrichia atricapilla,Golden-Crowned Sparrow,,6.8,0.641
Bird,Zonotrichia leucophrys,White-Crowned Sparrow,,23.0,0.044
Bird,Carduelis flammea,Common Redpoll,,6.0,0.032
Bird,Carduelis pinus,Pine Siskin,,10.4,0.663
Bird,Carduelis tristis,American Goldfinch,,30.0,0.327
Bird,Carpodacus mexicanus,House Finch,,32.4,0.066
Bird,Carpodacus purpureus,Purple Finch,,4.4,0.283
Bird,Coccothraustes vespertinus,Evening Grosbeak,,15.3,0.291
Bird,Loxia curvirostra,Red Crossbill,Species of Concern,3.5,0.273
Bird,Loxia leucoptera,White-Winged Crossbill,,5.6,0.629
Bird,Hirundo rustica,Barn Swallow,,15.2,0.107
Bird,Petrochelidon pyrrhonota,Cliff Swallow,,9.0,0.094
Bird,Progne subis,Purple Martin,Species of Concern,11.7,0.861
Bird,Riparia riparia,Bank Swallow,Species of Concern,6.7,0.524
Bird,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,Species of Concern,8.9,0.126
Bird,Tachycineta bicolor,Tree Swallow,Species of Concern,11.4,0.096
Bird,Agelaius phoeniceus,Red-Winged Blackbird,Endangered,8.7,0.081
Bird,Dolichonyx oryzivorus,Bobolink,Species of Concern,39.6,0.313
Bird,Euphagus carolinus,Rusty Blackbird,,8.0,0.381
Bird,Icterus galbula,"Baltimore Oriole, Northern Oriole",Endangered,11.4,0.236
Bird,Icterus spurius,Orchard Oriole,Species of Concern,17.6,0.693
Bird,Molothrus ater,Brown-Headed Cowbird,,8.9,0.16
Bird,Quiscalus quiscula,Common Grackle,Species of Concern,10.3,0.024
Bird,Sturnella magna,Eastern Meadowlark,,4.9,1.355
Bird,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,,32.7,0.229
Bird,Lanius ludovicianus,Loggerhead Shrike,Species of Concern,17.2,0.424
Bird,Dumetella carolinensis,Gray Catbird,Endangered,77.3,1.032
Bird,Mimus polyglottos,"Mockingbird, Northern Mockingbird",Species of Concern,11.3,0.105
Bird,Toxostoma rufum,Brown Thrasher,,4.6,0.377
Bird,Anthus rubescens,Water Pipit,,7.7,0.063
Bird,Anthus spinoletta,Water Pipit,,8.3,0.092
Bird,Baeolophus bicolor,Tufted Titmouse,,33.5,0.794
Bird,Poecile atricapillus,Black-Capped Chickadee,,12.1,1.534
Bird,Poecile carolinensis,Carolina Chickadee,,12.8,0.117
Bird,Dendroica caerulescens,Black-Throated Blue Warbler,Threatened,30.4,0.545
Bird,Dendroica castanea,Bay-Breasted Warbler,Species of Concern,6.5,0.244
Bird,Dendroica cerulea,Cerulean Warbler,Species of Concern,7.2,0.066
Bird,Dendroica coronata,Yellow-Rumped Warbler,,21.2,2.46
Bird,Dendroica discolor,Prairie Warbler,,5.3,0.559
Bird,Dendroica dominica,Yellow-Throated Warbler,,8.2,0.176
Bird,Dendroica fusca,Blackburnian Warbler,Species of Concern,8.5,0.116
Bird,Dendroica magnolia,Magnolia Warbler,Species of Concern,12.5,0.121
Bird,Dendroica palmarum,Palm Warbler,,14.3,0.285
Bird,Dendroica pensylvanica,Chestnut-Sided Warbler,,10.6,0.111
Bird,Dendroica petechia,Yellow Warbler,,8.6,0.691
Bird,Dendroica pinus,Pine Warbler,In Recovery,16.5,0.103
Bird,Dendroica striata,Blackpoll Warbler,,12.9,0.688
Bird,Dendroica tigrina,Cape May Warbler,,4.5,0.548
Bird,Dendroica virens,Black-Throated Green Warbler,,8.2,0.564
Bird,Geothlypis trichas,Common Yellowthroat,Species of Concern,7.7,0.041
Bird,Helmitheros vermivorus,Worm-Eating Warbler,Threatened,4.6,0.318
Bird,Icteria virens,Yellow-Breasted Chat,Species of Concern,14.2,0.111
Bird,Limnothlypis swainsonii,Swainson's Warbler,Species of Concern,17.9,0.048
Bird,Mniotilta varia,Black-And-White Warbler,Species of Concern,11.7,0.079
Bird,Oporornis agilis,Connecticut Warbler,,8.2,0.317
Bird,Oporornis formosus,Kentucky Warbler,,7.3,0.197
Bird,Oporornis philadelphia,Mourning Warbler,Species of Concern,22.3,0.16
Bird,Parula americana,Northern Parula,Species of Concern,20.1,0.087
Bird,Protonotaria citrea,Prothonotary Warbler,Species of Concern,16.7,1.471
Bird,Seiurus aurocapilla,Ovenbird,Endangered,2.8,0.125
Bird,Seiurus motacilla,Louisiana Waterthrush,,17.2,0.241
Bird,Seiurus noveboracensis,Northern Waterthrush,Species of Concern,15.2,0.155
Bird,Setophaga ruticilla,American Redstart,,12.8,0.254
Bird,Vermivora bachmanii,"Bachman's Warbler, Bachman's Wood Warbler",Endangered,24.5,0.398
Bird,Vermivora celata,Orange-Crowned Warbler,,14.9,0.191
Bird,Vermivora chrysoptera X pinus,Brewster's Warbler,,9.1,0.187
Bird,Vermivora lawrencei,Lawrence's Warbler,,15.4,0.19
Bird,Vermivora lawrencii,Lawrence's Warbler,Species of Concern,14.5,2.953
Bird,Vermivora leucobronchialis,Brewster's Warbler,,20.5,0.21
Bird,Vermivora peregrina,Tennessee Warbler,Endangered,25.0,0.192
Bird,Vermivora pinus,Blue-Winged Warbler,,3.6,0.099
Bird,Vermivora ruficapilla,Nashville Warbler,Species of Concern,4.0,0.205
Bird,Wilsonia canadensis,Canada Warbler,,12.3,1.904
Bird,Wilsonia citrina,Hooded Warbler,Endangered,14.8,0.237
Bird,Wilsonia pusilla,Wilson's Warbler,Species of Concern,20.0,0.026
Bird,Passer domesticus,House Sparrow,Endangered,14.0,0.703
Bird,Polioptila caerulea,Blue-Gray Gnatcatcher,,5.0,1.06
Bird,Regulus calendula,Ruby-Crowned Kinglet,In Recovery,14.9,0.191
Bird,Regulus satrapa,Golden-Crowned Kinglet,,17.8,3.661
Bird,Sitta canadensis,Red-Breasted Nuthatch,Species of Concern,13.6,0.396
Bird,Sitta carolinensis,White-Breasted Nuthatch,Species of Concern,9.2,0.118
Bird,Sturnus vulgaris,European Starling,Endangered,20.0,0.117
Bird,Cistothorus palustris,Marsh Wren,Species of Concern,12.7,0.178
Bird,Cistothorus platensis,Sedge Wren,,16.2,0.435
Bird,Thryomanes bewickii,Bewick's Wren,Threatened,22.7,0.172
Bird,Thryomanes bewickii altus,Appalachian Bewick's Wren,Species of Concern,10.4,0.103
Bird,Thryothorus ludovicianus,Carolina Wren,Species of Concern,9.3,0.456
Bird,Troglodytes aedon,House Wren,,19.2,0.109
Bird,Troglodytes troglodytes,Winter Wren,,20.5,1.338
Bird,Catharus fuscescens,Veery,,15.6,2.374
Bird,Catharus guttatus,Hermit Thrush,,7.7,0.077
Bird,Catharus minimus,Gray-Cheeked Thrush,,4.2,1.562
Bird,Catharus ustulatus,Swainson's Thrush,Species of Concern,18.0,0.283
Bird,Hylocichla mustelina,Wood Thrush,,14.4,0.087
Bird,Sialia sialis,Eastern Bluebird,,52.8,0.347
Bird,Turdus migratorius,American Robin,,13.0,0.669
Bird,Contopus borealis,Olive-Sided Flycatcher,Species of Concern,16.3,0.385
Bird,Contopus cooperi,Olive-Sided Flycatcher,Species of Concern,7.6,0.506
Bird,Contopus virens,Eastern Wood-Pewee,,37.7,1.323
Bird,Empidonax alnorum,Alder Flycatcher,In Recovery,31.7,0.172
Bird,Empidonax flaviventris,Yellow-Bellied Flycatcher,,6.7,0.262
Bird,Empidonax minimus,Least Flycatcher,Threatened,12.6,1.004
Bird,Empidonax traillii,Willow Flycatcher,Species of Concern,4.4,1.62
Bird,Empidonax virescens,Acadian Flycatcher,,11.1,0.188
Bird,Myiarchus crinitus,Great Crested Flycatcher,In Recovery,6.6,0.049
Bird,Sayornis phoebe,Eastern Phoebe,,20.0,0.326
Bird,Tyrannus forficata,Scissor-Tailed Flycatcher,,5.6,0.072
Bird,Tyrannus forficatus,Scissor-Tailed Flycatcher,Threatened,10.0,1.889
Bird,Tyrannus tyrannus,Eastern Kingbird,Species of Concern,10.4,0.058
Bird,Tyrannus verticalis,Western Kingbird,,10.5,0.223
Bird,Vireo flavifrons,Yellow-Throated Vireo,Species of Concern,2.4,0.284
Bird,Vireo gilvus,Warbling Vireo,,10.6,0.648
Bird,Vireo griseus,White-Eyed Vireo,,36.9,1.04
Bird,Vireo olivaceus,Red-Eyed Vireo,,10.4,0.089
Bird,Vireo philadelphicus,Philadelphia Vireo,,57.1,0.321
Bird,Vireo solitarius,"Blue-Headed Vireo, Solitary Vireo",Species of Concern,12.3,0.293
Bird,Ardea alba,Great Egret,Endangered,13.7,0.257
Bird,Ardea albus,Great Egret,,8.6,0.165
Bird,Ardea herodias,Great Blue Heron,Species of Concern,11.9,0.166
Bird,Botaurus lentiginosus,American Bittern,Species of Concern,7.9,0.339
Bird,Butorides virescens,Green-Backed Heron,,10.5,1.575
Bird,Egretta caerulea,Little Blue Heron,,2.5,1.001
Bird,Ixobrychus exilis,Least Bittern,Species of Concern,25.7,0.031
Bird,Nyctanassa violacea,Yellow-Crowned Night-Heron,Endangered,9.9,0.2
Bird,Nycticorax nycticorax,Black-Crowned Night-Heron,Species of Concern,5.2,0.128
Bird,Pelecanus erythrorhynchos,American White Pelican,Species of Concern,6.3,2.07
Bird,Colaptes auratus,Northern Flicker,Threatened,21.4,1.22
Bird,Dryocopus pileatus,Pileated Woodpecker,Species of Concern,18.8,0.087
Bird,Melanerpes carolinus,Red-Bellied Woodpecker,Species of Concern,8.9,0.516
Bird,Melanerpes erythrocephalus,Red-Headed Woodpecker,Threatened,5.9,0.66
Bird,Picoides borealis,Red-Cockaded Woodpecker,Endangered,10.5,0.199
Bird,Picoides pubescens,Downy Woodpecker,Species of Concern,18.7,0.491
Bird,Picoides villosus,Hairy Woodpecker,,9.8,1.078
Bird,Sphyrapicus varius,Yellow-Bellied Sapsucker,Species of Concern,6.4,0.593
Bird,Podiceps auritus,Horned Grebe,Species of Concern,17.4,0.214
Bird,Podilymbus podiceps,Pied-Billed Grebe,,14.8,0.076
Bird,Oceanodroma castro,Band-Rumped Storm-Petrel,Threatened,21.2,0.246
Bird,Aegolius,Saw-Whet Owls,,8.9,0.955
Bird,Aegolius acadicus,Northern Saw-Whet Owl,Species of Concern,8.0,0.064
Bird,Asio flammeus,Short-Eared Owl,Species of Concern,4.8,0.587
Bird,Asio otus,Long-Eared Owl,Species of Concern,5.7,2.076
Bird,Bubo virginianus,Great Horned Owl,,3.5,1.947
Bird,Megascops asio,"Eastern Screech Owl, Eastern Screech-Owl",Species of Concern,13.8,0.271
Bird,Otus asio,Eastern Screech-Owl,,8.8,0.467
Bird,Strix varia,Barred Owl,,11.9,1.014
Bird,Tyto alba,"Barn Owl, Common Barn-Owl",,13.0,0.355
Bird,Tytonidae,Barn-Owls,,9.8,0.283
Bird,Phalacrocorax auritus,Double-Crested Cormorant,Species of Concern,14.7,0.046
Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,Species of Concern,8.3,7.29
Reptile,Carphophis,"Worm Snakes, Wormsnakes",,28.1,1.141
Reptile,Carphophis amoenus amoenus,Eastern Worm Snake,,24.9,3.304
Reptile,Carphophis amoenus helenae,Midwest Worm Snake,In Recovery,15.9,0.348
Reptile,Cemophora coccinea copei,Northern Scarlet Snake,Endangered,28.7,0.233
Reptile,Coluber constrictor constrictor,Northern Black Racer,Endangered,34.0,0.055
Reptile,Diadophis punctatus edwardsii,Northern Ringneck Snake,Species of Concern,55.9,4.243
Reptile,Elaphe guttata guttata,Corn Snake,Endangered,30.1,11.768
Reptile,Elaphe obsoleta obsoleta,Black Rat Snake,,93.0,12.538
Reptile,Heterodon platirhinos,Eastern Hognose Snake,,5.6,0.128
Reptile,Lampropeltis,"Kingsnakes, Milk Snakes",,14.9,1.737
Reptile,Lampropeltis calligaster rhombomaculata,Mole Kingsnake,Species of Concern,37.1,0.386
Reptile,Lampropeltis getula getula,Eastern Kingsnake,,28.5,0.364
Reptile,Lampropeltis getula nigra,Black Kingsnake,In Recovery,15.0,0.099
